 Tempo totale (Ma):   0.000015
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
       132                   0.01560                   0.00780                   0.00774                   0.00000                   0.97144
       133                   0.02340                   0.00780                   0.00774                   0.00000                   0.97144
       134                   0.03120                   0.00780                   0.00774                   0.00000                   0.97144
       135                   0.03910                   0.00780                   0.00774                   0.00000                   0.97144
       136                   0.04690                   0.00780                   0.00774                   0.00000                   0.97144
       137                   0.05470                   0.00780                   0.00774                   0.00000                   0.97144
       138                   0.06250                   0.00780                   0.00774                   0.00000                   0.97144
       139                   0.07030                   0.00780                   0.00774                   0.00000                   0.97144
       140                   0.07810                   0.00780                   0.00774                   0.00000                   0.97144
       141                   0.08590                   0.00780                   0.00774                   0.00000                   0.97144
       142                   0.09380                   0.00780                   0.00774                   0.00000                   0.97144
       143                   0.10160                   0.00780                   0.00774                   0.00000                   0.97144
       144                   0.10940                   0.00780                   0.00774                   0.00000                   0.97144
       145                   0.11720                   0.00780                   0.00774                   0.00000                   0.97144
       146                   0.12500                   0.00780                   0.00774                   0.00000                   0.97144
       147                   0.13280                   0.00780                   0.00774                   0.00000                   0.97144
       148                   0.14060                   0.00780                   0.00774                   0.00000                   0.97144
       149                   0.14840                   0.00780                   0.00774                   0.00000                   0.97144
       150                   0.15620                   0.00780                   0.00774                   0.00000                   0.97144
       151                   0.16410                   0.00780                   0.00774                   0.00000                   0.97144
       152                   0.17190                   0.00780                   0.00774                   0.00000                   0.97144
       153                   0.17970                   0.00780                   0.00774                   0.00000                   0.97144
       154                   0.18750                   0.00780                   0.00774                   0.00000                   0.97144
       155                   0.19530                   0.00780                   0.00774                   0.00000                   0.97144
       156                   0.20310                   0.00780                   0.00774                   0.00000                   0.97144
       157                   0.21090                   0.00780                   0.00774                   0.00000                   0.97144
       158                   0.21880                   0.00780                   0.00774                   0.00000                   0.97144
       159                   0.22660                   0.00780                   0.00774                   0.00000                   0.97144
       160                   0.23440                   0.00780                   0.00774                   0.00000                   0.97144
       161                   0.24220                   0.00780                   0.00774                   0.00000                   0.97144
       162                   0.25000                   0.00780                   0.00774                   0.00000                   0.97144
       163                   0.25780                   0.00780                   0.00774                   0.00000                   0.97144
       164                   0.26560                   0.00780                   0.00774                   0.00000                   0.97144
       165                   0.27340                   0.00780                   0.00774                   0.00000                   0.97144
       166                   0.28120                   0.00780                   0.00774                   0.00000                   0.97144
       167                   0.28910                   0.00780                   0.00774                   0.00000                   0.97144
       168                   0.29690                   0.00780                   0.00774                   0.00000                   0.97144
       169                   0.30470                   0.00780                   0.00774                   0.00000                   0.97144
       170                   0.31250                   0.00780                   0.00774                   0.00000                   0.97144
       171                   0.32030                   0.00780                   0.00774                   0.00000                   0.97144
       172                   0.32810                   0.00780                   0.00774                   0.00000                   0.97144
       173                   0.33590                   0.00780                   0.00774                   0.00000                   0.97144
       174                   0.34380                   0.00780                   0.00774                   0.00000                   0.97144
       175                   0.35160                   0.00780                   0.00774                   0.00000                   0.97144
       176                   0.35940                   0.00780                   0.00774                   0.00000                   0.97144
       177                   0.36720                   0.00780                   0.00774                   0.00000                   0.97144
       178                   0.37500                   0.00780                   0.00774                   0.00000                   0.97144
       179                   0.38280                   0.00780                   0.00774                   0.00000                   0.97144
