 Tempo totale (Ma):   0.000015
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
        97          0.7539          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        98          0.7617          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        99          0.7695          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       100          0.7773          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       101          0.7852          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       102          0.7930          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       103          0.8008          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       104          0.8086          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       105          0.8164          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       106          0.8242          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       107          0.8320          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       108          0.8398          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       109          0.8477          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       110          0.8555          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       111          0.8633          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       112          0.8711          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       113          0.8789          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       114          0.8867          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       115          0.8945          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       116          0.9023          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       117          0.9102          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       118          0.9180          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       119          0.9258          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       120          0.9336          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       121          0.9414          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       122          0.9492          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       123          0.9570          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       124          0.9648          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       125          0.9727          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       126          0.9805          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       127          0.9883          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       128          0.9961          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
       129          0.0039          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       130          0.0117          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       131          0.0195          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       132          0.0273          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       133          0.0352          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       134          0.0430          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       135          0.0508          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       136          0.0586          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       137          0.0664          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       138          0.0742          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       139          0.0820          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       140          0.0898          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       141          0.0977          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       142          0.1055          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       143          0.1133          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       144          0.1211          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       145          0.1289          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       146          0.1367          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       147          0.1445          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       148          0.1523          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       149          0.1602          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       150          0.1680          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       151          0.1758          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       152          0.1836          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       153          0.1914          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       154          0.1992          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       155          0.2070          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       156          0.2148          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       157          0.2227          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       158          0.2305          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       159          0.2383          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       160          0.2461          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       161          0.2539          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       162          0.2617          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       163          0.2695          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       164          0.2773          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       165          0.2852          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       166          0.2930          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       167          0.3008          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       168          0.3086          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       169          0.3164          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       170          0.3242          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       171          0.3320          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       172          0.3398          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       173          0.3477          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       174          0.3555          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       175          0.3633          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       176          0.3711          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       177          0.3789          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       178          0.3867          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       179          0.3945          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       180          0.4023          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       181          0.4102          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       182          0.4180          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       183          0.4258          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       184          0.4336          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       185          0.4414          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       186          0.4492          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       187          0.4570          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       188          0.4648          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       189          0.4727          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
       190          0.4805          0.0117     0.9537     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.8830           0.9547      1.0000         0.95375          0.0000    
