 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura      Divergenza   Shear Heating     Ad. Heating
        68          1.3750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.75000          0.0000           0.0000     0.75000E-08     0.36125         -0.0000    
        69          1.4250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.85000          0.0000           0.0000     0.85000E-08     0.36125         -0.0000    
        70          1.4750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.95000          0.0000           0.0000     0.95000E-08     0.36125         -0.0000    
        71          1.5250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.0500          0.0000           0.0000     0.10500E-07     0.36125         -0.0000    
        72          1.5750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.1500          0.0000           0.0000     0.11500E-07     0.36125         -0.0000    
        73          1.6250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.2500          0.0000           0.0000     0.12500E-07     0.36125         -0.0000    
        74          1.6750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.3500          0.0000           0.0000     0.13500E-07     0.36125         -0.0000    
        75          1.7250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.4500          0.0000           0.0000     0.14500E-07     0.36125         -0.0000    
        76          1.7750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.5500          0.0000           0.0000     0.15500E-07     0.36125         -0.0000    
        77          1.8250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.6500          0.0000           0.0000     0.16500E-07     0.36125         -0.0000    
        78          1.8750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.7500          0.0000           0.0000     0.17500E-07     0.36125         -0.0000    
        79          1.9250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.8500          0.0000           0.0000     0.18500E-07     0.36125         -0.0000    
        80          1.9750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.9250          0.0000           0.0000     0.19500E-07     0.36125         -0.0000    
        81          0.0250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.9250          1.9250           0.0000    -0.19500E-07     0.28125          0.0000    
        82          0.0750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.8500          1.8500           0.0000    -0.18500E-07     0.28125          0.0000    
        83          0.1250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.17500E-07     0.28125          0.0000    
        84          0.1750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.16500E-07     0.28125          0.0000    
        85          0.2250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.15500E-07     0.28125          0.0000    
        86          0.2750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.14500E-07     0.28125          0.0000    
        87          0.3250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.13500E-07     0.28125          0.0000    
        88          0.3750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.12500E-07     0.28125          0.0000    
        89          0.4250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.11500E-07     0.28125          0.0000    
        90          0.4750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.10500E-07     0.28125          0.0000    
        91          0.5250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.95000E-08     0.28125          0.0000    
        92          0.5750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.85000E-08     0.28125          0.0000    
        93          0.6250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.75000E-08     0.28125          0.0000    
        94          0.6750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.65000         0.65000           0.0000    -0.65000E-08     0.28125          0.0000    
        95          0.7250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.55000         0.55000           0.0000    -0.55000E-08     0.28125          0.0000    
        96          0.7750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.45000         0.45000           0.0000    -0.45000E-08     0.28125          0.0000    
        97          0.8250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.35000         0.35000           0.0000    -0.35000E-08     0.28125          0.0000    
        98          0.8750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.25000         0.25000           0.0000    -0.25000E-08     0.28125          0.0000    
        99          0.9250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.15000         0.15000           0.0000    -0.15000E-08     0.28125          0.0000    
       100          0.9750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000    -0.50000E-09     0.28125         -0.0000    
       101          1.0250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000     0.50000E-09     0.28125         -0.0000    
       102          1.0750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000     0.15000E-08     0.28125         -0.0000    
       103          1.1250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.25000E-08     0.28125         -0.0000    
       104          1.1750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000     0.35000E-08     0.28125         -0.0000    
       105          1.2250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.45000E-08     0.28125         -0.0000    
       106          1.2750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.55000E-08     0.28125         -0.0000    
       107          1.3250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.65000E-08     0.28125          0.0000    
       108          1.3750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.75000          0.0000           0.0000     0.75000E-08     0.28125          0.0000    
       109          1.4250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.85000          0.0000           0.0000     0.85000E-08     0.28125          0.0000    
       110          1.4750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.95000          0.0000           0.0000     0.95000E-08     0.28125         -0.0000    
       111          1.5250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.0500          0.0000           0.0000     0.10500E-07     0.28125         -0.0000    
       112          1.5750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.1500          0.0000           0.0000     0.11500E-07     0.28125         -0.0000    
       113          1.6250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.2500          0.0000           0.0000     0.12500E-07     0.28125         -0.0000    
       114          1.6750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.3500          0.0000           0.0000     0.13500E-07     0.28125         -0.0000    
       115          1.7250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.4500          0.0000           0.0000     0.14500E-07     0.28125         -0.0000    
       116          1.7750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.5500          0.0000           0.0000     0.15500E-07     0.28125         -0.0000    
       117          1.8250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.6500          0.0000           0.0000     0.16500E-07     0.28125         -0.0000    
       118          1.8750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.7500          0.0000           0.0000     0.17500E-07     0.28125         -0.0000    
       119          1.9250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.8500          0.0000           0.0000     0.18500E-07     0.28125         -0.0000    
       120          1.9750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.9250          0.0000           0.0000     0.19500E-07     0.28125         -0.0000    
