 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
        50     650000.0000     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.32703E+09     0.45460E+11    1300.0000     0.10000E+23     0.83600E-05     0.21752E-05
        51     683333.3333     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.31050E+09     0.45477E+11    1300.0000     0.10000E+23     0.89689E-05     0.22445E-05
        52     716666.6667     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.29619E+09     0.45491E+11    1300.0000     0.10000E+23     0.94612E-05     0.22988E-05
        53     750000.0000     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.28391E+09     0.45504E+11    1300.0000     0.10000E+23     0.98585E-05     0.23415E-05
        54     783333.3333     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.27348E+09     0.45514E+11    1300.0000     0.10000E+23     0.10178E-04     0.23753E-05
        55     816666.6667     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.26477E+09     0.45523E+11    1300.0000     0.10000E+23     0.10432E-04     0.24019E-05
        56     850000.0000     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25766E+09     0.45530E+11    1300.0000     0.10000E+23     0.10631E-04     0.24224E-05
        57     883333.3333     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25207E+09     0.45535E+11    1300.0000     0.10000E+23     0.10782E-04     0.24379E-05
        58     916666.6667     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24793E+09     0.45540E+11    1300.0000     0.10000E+23     0.10891E-04     0.24491E-05
        59     950000.0000     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24520E+09     0.45542E+11    1300.0000     0.10000E+23     0.10962E-04     0.24563E-05
        60     983333.3333     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24384E+09     0.45544E+11    1300.0000     0.10000E+23     0.10996E-04     0.24598E-05
        61      16666.6666     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55539E+09     0.41445E+11    1300.0000     0.10000E+21     0.22404E-06    -0.59166E-05
        62      50000.0000     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55536E+09     0.41445E+11    1300.0000     0.10000E+21     0.21973E-06    -0.58619E-05
        63      83333.3334     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55529E+09     0.41445E+11    1300.0000     0.10000E+21     0.21116E-06    -0.57519E-05
        64     116666.6666     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55518E+09     0.41445E+11    1300.0000     0.10000E+21     0.19852E-06    -0.55849E-05
        65     150000.0000     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55503E+09     0.41445E+11    1300.0000     0.10000E+21     0.18206E-06    -0.53585E-05
        66     183333.3334     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55485E+09     0.41445E+11    1300.0000     0.10000E+21     0.16217E-06    -0.50695E-05
        67     216666.6666     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55463E+09     0.41445E+11    1300.0000     0.10000E+21     0.13945E-06    -0.47136E-05
        68     250000.0000     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55437E+09     0.41446E+11    1300.0000     0.10000E+21     0.11472E-06    -0.42853E-05
        69     283333.3333     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55407E+09     0.41446E+11    1300.0000     0.10000E+21     0.89144E-07    -0.37778E-05
        70     316666.6666     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55373E+09     0.41446E+11    1300.0000     0.10000E+21     0.64377E-07    -0.31825E-05
        71     350000.0000     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55334E+09     0.41447E+11    1300.0000     0.10000E+21     0.42734E-07    -0.24887E-05
        72     383333.3333     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55291E+09     0.41447E+11    1300.0000     0.10000E+21     0.27473E-07    -0.16827E-05
        73     416666.6667     187500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55244E+09     0.41448E+11    1300.0000     0.10000E+21     0.23104E-07    -0.74712E-06
        74     450000.0000     187500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.55193E+09     0.41448E+11    1300.0000     0.10000E+21     0.35584E-07     0.34026E-06
        75     483333.3333     187500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.50405E+09     0.41496E+11    1300.0000     0.10000E+21     0.71319E-07     0.16052E-05
        76     516666.6666     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.40485E+09     0.42908E+11    1300.0000     0.10000E+23     0.37093E-05     0.25447E-05
        77     550000.0000     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.34510E+09     0.42967E+11    1300.0000     0.10000E+23     0.44480E-05     0.28775E-05
        78     583333.3333     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.32892E+09     0.42984E+11    1300.0000     0.10000E+23     0.52685E-05     0.31343E-05
        79     616666.6667     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.31342E+09     0.42999E+11    1300.0000     0.10000E+23     0.60540E-05     0.33331E-05
        80     650000.0000     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.29907E+09     0.43013E+11    1300.0000     0.10000E+23     0.67514E-05     0.34886E-05
        81     683333.3333     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.28607E+09     0.43026E+11    1300.0000     0.10000E+23     0.73498E-05     0.36113E-05
        82     716666.6667     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.27447E+09     0.43038E+11    1300.0000     0.10000E+23     0.78532E-05     0.37088E-05
        83     750000.0000     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.26430E+09     0.43048E+11    1300.0000     0.10000E+23     0.82710E-05     0.37864E-05
        84     783333.3333     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25550E+09     0.43057E+11    1300.0000     0.10000E+23     0.86134E-05     0.38482E-05
        85     816666.6667     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24806E+09     0.43064E+11    1300.0000     0.10000E+23     0.88899E-05     0.38970E-05
        86     850000.0000     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24193E+09     0.43071E+11    1300.0000     0.10000E+23     0.91087E-05     0.39350E-05
        87     883333.3333     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23707E+09     0.43075E+11    1300.0000     0.10000E+23     0.92762E-05     0.39637E-05
        88     916666.6667     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23345E+09     0.43079E+11    1300.0000     0.10000E+23     0.93975E-05     0.39844E-05
        89     950000.0000     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23105E+09     0.43081E+11    1300.0000     0.10000E+23     0.94764E-05     0.39978E-05
        90     983333.3333     187500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.22985E+09     0.43083E+11    1300.0000     0.10000E+23     0.95153E-05     0.40043E-05
        91      16666.6666     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48096E+09     0.39119E+11    1300.0000     0.10000E+21     0.18373E-06    -0.80271E-05
        92      50000.0000     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48093E+09     0.39119E+11    1300.0000     0.10000E+21     0.18004E-06    -0.79513E-05
        93      83333.3334     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48087E+09     0.39119E+11    1300.0000     0.10000E+21     0.17275E-06    -0.77985E-05
        94     116666.6666     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48077E+09     0.39119E+11    1300.0000     0.10000E+21     0.16205E-06    -0.75666E-05
        95     150000.0000     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48065E+09     0.39119E+11    1300.0000     0.10000E+21     0.14824E-06    -0.72524E-05
        96     183333.3334     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48049E+09     0.39120E+11    1300.0000     0.10000E+21     0.13179E-06    -0.68514E-05
        97     216666.6666     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48029E+09     0.39120E+11    1300.0000     0.10000E+21     0.11337E-06    -0.63578E-05
        98     250000.0000     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.48007E+09     0.39120E+11    1300.0000     0.10000E+21     0.93908E-07    -0.57643E-05
        99     283333.3333     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47980E+09     0.39120E+11    1300.0000     0.10000E+21     0.74734E-07    -0.50619E-05
       100     316666.6666     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47951E+09     0.39120E+11    1300.0000     0.10000E+21     0.57650E-07    -0.42397E-05
       101     350000.0000     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47918E+09     0.39121E+11    1300.0000     0.10000E+21     0.45103E-07    -0.32845E-05
       102     383333.3333     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47882E+09     0.39121E+11    1300.0000     0.10000E+21     0.40319E-07    -0.21805E-05
       103     416666.6667     262500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47842E+09     0.39122E+11    1300.0000     0.10000E+21     0.47389E-07    -0.90918E-06
       104     450000.0000     262500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.47799E+09     0.39122E+11    1300.0000     0.10000E+21     0.71056E-07     0.55055E-06
       105     483333.3333     262500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.43455E+09     0.39165E+11    1300.0000     0.10000E+21     0.11699E-06     0.22220E-05
       106     516666.6666     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.34565E+09     0.40492E+11    1300.0000     0.10000E+23     0.30685E-05     0.34317E-05
