 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
       135              333333.33330              300000.00000                 -17.25778                  10.68684                1300.00000
       136              366666.66670              300000.00000                 -18.00667                   7.75875                1300.00000
       137              400000.00000              300000.00000                 -18.45697                   4.39110                1300.00000
       138              433333.33330              300000.00000                 -18.57637                   0.53513                1300.00000
       139              466666.66670              300000.00000                 -18.33044                  -3.86473                1300.00000
       140              500000.00000              300000.00000                 -17.68903                  -8.87115                1300.00000
       141              533333.33330              300000.00000                 -16.82097                 -10.01727                1300.00000
       142              566666.66670              300000.00000                 -15.90292                 -10.97643                1300.00000
       143              600000.00000              300000.00000                 -14.92989                 -11.77492                1300.00000
       144              633333.33330              300000.00000                 -13.90073                 -12.43565                1300.00000
       145              666666.66670              300000.00000                 -12.81607                 -12.97984                1300.00000
       146              700000.00000              300000.00000                 -11.67920                 -13.42667                1300.00000
       147              733333.33330              300000.00000                 -10.49506                 -13.79226                1300.00000
       148              766666.66670              300000.00000                  -9.26936                 -14.08981                1300.00000
       149              800000.00000              300000.00000                  -8.00804                 -14.32989                1300.00000
       150              833333.33330              300000.00000                  -6.71693                 -14.52086                1300.00000
       151              866666.66670              300000.00000                  -5.40160                 -14.66922                1300.00000
       152              900000.00000              300000.00000                  -4.06735                 -14.77989                1300.00000
       153              933333.33330              300000.00000                  -2.71917                 -14.85649                1300.00000
       154              966666.66670              300000.00000                  -1.36185                 -14.90150                1300.00000
       155             1000000.00000              300000.00000                   0.00000                 -14.91635                1300.00000
       156                   0.00000              375000.00000                   0.00000                  27.31066                1300.00000
       157               33333.33330              375000.00000                  -1.81344                  27.17793                1300.00000
       158               66666.66670              375000.00000                  -3.60656                  26.77797                1300.00000
       159              100000.00000              375000.00000                  -5.35885                  26.10546                1300.00000
       160              133333.33330              375000.00000                  -7.04940                  25.15144                1300.00000
       161              166666.66670              375000.00000                  -8.65675                  23.90317                1300.00000
       162              200000.00000              375000.00000                 -10.15873                  22.34402                1300.00000
       163              233333.33330              375000.00000                 -11.53235                  20.45315                1300.00000
       164              266666.66670              375000.00000                 -12.75375                  18.20536                1300.00000
       165              300000.00000              375000.00000                 -13.79828                  15.57076                1300.00000
       166              333333.33330              375000.00000                 -14.64050                  12.51470                1300.00000
       167              366666.66670              375000.00000                 -15.25450                   8.99737                1300.00000
